word,ws,wsk,intent,pillar
спил деревьев в московской области,517,84,local,arboristika
обрезка деревьев авито,778,75,other,arboristika
спилка деревьев,856,47,other,other
удаление деревьев на участке в московской области цены,27,27,pricing,arboristika
сколько стоит срубить дерево,248,24,pricing,other
вырубка деревьев на участке московская область,102,22,local,other
вырубка деревьев на участке московская область цена,32,20,pricing,other
обрезка деревьев в московской области,64,19,local,arboristika
сколько стоит спилить дерево возле дома,24,15,pricing,other
санитарная обрезка деревьев это,150,14,other,arboristika
удаление пней на участке цена,13,12,pricing,arboristika
дробилка пней аренда,43,11,other,other
спил аварийного дерева,1638,11,other,arboristika
стоимость спилить дерево,215,10,other,other
убрать деревья с участка стоимость,21,9,other,other
спиливание деревьев на участке стоимость в подмосковье,8,8,lead,other
услуги по вырубке деревьев,99,6,lead,other
дробление пней методом фрезерования,14,5,other,other
удаление дерева,4943,5,other,arboristika
расценка на вырубку деревьев и кустарников,14,4,other,other
санитарная обрезка деревьев цена,12,4,pricing,arboristika
стоимость вырубки деревьев на участке,32,4,other,other
арбористы цена за дерево в подмосковье,3,3,lead,other
выкорчевка пней трактором цена,11,3,pricing,other
вырубка деревьев на участке цена за сотку,6,3,pricing,other
спил аварийных деревьев цена,24,3,pricing,arboristika
арборист услуги,116,2,lead,arboristika
услуги спила деревьев,266,2,lead,other
вырубка леса цена,98,1,pricing,other
корчевка пней цена за шт,1,1,pricing,other
обрезь деревьев,79,1,other,other
спилка деревьев цена,119,1,pricing,other
удаление деревьев москва,22,1,local,arboristika
удалить дерево на участке московская область цена,1,1,pricing,other
кронирование деревьев цены,134,0,pricing,other
кронирование тополей сроки,4,0,other,other
