keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
мытье окон в москве цены на услуги,483,483,1,СЧ,/vse-uslugi/mojka-okon,0
мытье окон цена,143,142,1,СЧ,/vse-uslugi/mojka-okon,0
мытье окон спб цена за окно,126,126,1,СЧ,/our-services/cleaning/mojkaokon,0
мытье окон сколько стоит,124,27,3,СЧ,/vse-uslugi/mojka-okon,1
мойка окон цена,114,109,2,СЧ,/mojka-okon.html,0
сколько стоит мытье окон,112,90,3,СЧ,/vse-uslugi/mojka-okon,1
мойка фасадов зданий цена за м2,105,105,6,СЧ,/vse-uslugi/uborka-fasadov,1
мойка окон сколько стоит,50,8,1,НЧ,/mojka-okon.html,0
мытье окон цена за м2 за работу,47,47,2,НЧ,/mojka-okon-i-lodzhij/v-ofise,0
мытье окон заказать,46,18,3,НЧ,/mojka-okon-i-lodzhij,1
клининг мытье окон цена,46,31,1,НЧ,/mojka-okon-i-lodzhij,0
мытье окон стоимость,46,46,1,НЧ,/mojka-okon.html,0
мытье фасадов зданий цена,44,44,3,НЧ,/vse-uslugi/uborka-fasadov,1
мойка фасадов цена,41,41,3,НЧ,/mojka-fasada-zdaniya,1
клининг мойка окон цена,39,36,1,НЧ,/vse-uslugi/mojka-okon,0
сколько стоит мытье окон в москве,34,31,1,НЧ,/mojka-okon-i-lodzhij,0
мытье окон снаружи на высоте цена,32,32,3,НЧ,/mojka-okon.html,1
мойка окон цена в москве,29,9,1,НЧ,/mojka-okon-i-lodzhij/snaruzhi,0
мойка фасада цена за м2 в москве,29,29,6,НЧ,/vse-uslugi/uborka-fasadov,1
мойка окон стоимость,24,22,1,НЧ,/vse-uslugi/mojka-okon,0
мойка фасада цена за м2,23,23,3,НЧ,/mojka-fasadov.html,1
мытье окон цены,22,22,1,НЧ,/vse-uslugi/mojka-okon,0
мойка окон в москве в квартире цены и отзывы,18,11,1,НЧ,/mojka-okon-i-lodzhij,0
мойка окон в офисе цена москва,15,15,1,НЧ,/uborka-ofisov/moyka-okon,0
мойка окон в квартире в москве цена недорого,14,14,1,НЧ,/vse-uslugi/mojka-okon,0
мытье окон на высоте цена,12,12,3,НЧ,/mojka-okon.html,1
мойка фасадов стоимость,9,9,1,НЧ,/mojka-fasadov.html,0
мытье окон альпинистами цена москва,8,8,1,НЧ,/mojka-okon.html,0
мойка окон цена за м2,6,6,1,НЧ,/mojka-okon.html,0
сколько стоит мойка окон в квартире,6,6,1,НЧ,/mojka-okon.html,0
мойка окон альпинистами цена москва,3,3,2,НЧ,/mojka-okon.html,0
мойка фасадов зданий цена за м2 в москве,3,3,2,НЧ,/mojka-fasadov.html,0
мойка окон на высоте альпинистами цена,3,3,2,НЧ,/mojka-okon.html,0
мытье окон альпинистами цена спб,2,0,1,НЧ,/our-services/cleaning/mojkaokon,0
услуга мойки окон,2,2,1,НЧ,/mojka-okon.html,0
мытье окон в москве цены,2,1,1,НЧ,/mojka-okon.html,0
услуги мойки окон,2,2,1,НЧ,/mojka-okon.html,0
расценки на мытье окон,1,1,1,НЧ,/mojka-okon.html,0
мытье окон цена за м2,1,1,1,НЧ,/mojka-okon.html,0
мойка фасада цена,1,1,2,НЧ,/mojka-fasadov.html,0
мытье окон альпинистами цена,1,1,2,НЧ,/mojka-okon.html,0
мойка окон стоимость за квадратный метр,1,1,2,НЧ,/mojka-okon.html,0
мойка окон альпинистами цена,1,1,1,НЧ,/mojka-okon.html,0
мытье окон цена москва,1,1,1,НЧ,/uslugi/kliningovye-raboty/mojka-ostekleniya,0
мойка окон в москве дешево,0,0,1,НЧ,/uslugi/kliningovye-raboty/mojka-ostekleniya,0
